open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1724716800000,62807.70,63008.90,62733.00,62925.40,4150.284,1724718599999,260879140.07130,66699,2279.219,143272881.80010,0
1724718600000,62925.30,63028.00,62618.00,62690.10,4306.695,1724720399999,270339496.69460,62847,1921.285,120594761.05250,0
1724720400000,62690.20,63148.00,62664.50,63114.60,8046.561,1724722199999,506607922.70330,96993,4622.170,290933110.61940,0
1724722200000,63114.60,63196.00,62919.40,62962.20,2795.077,1724723999999,176306712.35180,39105,1227.357,77428252.86460,0
1724724000000,62962.20,63169.50,62935.10,63043.50,1772.210,1724725799999,111797103.19880,30918,1002.768,63256908.75040,0
1724725800000,63043.60,63097.10,62850.00,62868.40,2092.646,1724727599999,131704637.87650,34203,885.684,55745566.11700,0
1724727600000,62869.60,62872.00,62683.00,62853.40,4665.916,1724729399999,292946749.84450,58967,2037.650,127940334.86890,0
1724729400000,62853.40,62988.00,62838.00,62947.20,1876.710,1724731199999,118087796.32900,27743,1168.337,73514105.00610,0
1724731200000,62947.10,62983.00,62881.80,62911.00,1583.896,1724732999999,99671890.41230,24674,809.897,50968351.17150,0
1724733000000,62911.10,63073.20,62895.50,63011.40,1906.755,1724734799999,120151157.65640,28599,935.875,58974593.68990,0
1724734800000,63011.40,63130.00,63011.30,63099.60,1890.882,1724736599999,119281248.26610,26445,1044.457,65887451.57570,0
1724736600000,63099.70,63178.70,63033.00,63113.80,3660.155,1724738399999,230977752.37370,41393,1444.603,91163726.85010,0
1724738400000,63113.80,63120.00,62900.40,62909.30,1876.893,1724740199999,118261528.28220,28235,642.570,40491883.17140,0
1724740200000,62909.20,62935.00,62688.50,62740.80,5468.081,1724741999999,343216054.70830,66858,2771.062,173918438.80440,0
1724742000000,62740.70,62924.90,62736.20,62861.00,2226.075,1724743799999,139847017.87720,33086,1356.190,85198059.83120,0
1724743800000,62860.90,62936.60,62765.40,62882.00,1788.339,1724745599999,112403796.15910,27227,916.469,57614193.22510,0
1724745600000,62881.90,62987.10,62671.20,62685.10,3023.953,1724747399999,189929127.19590,41942,1328.565,83467570.06350,0
1724747400000,62685.10,62796.30,62666.00,62786.20,2297.551,1724749199999,144110602.36870,34157,1223.645,76756758.05060,0
1724749200000,62786.10,62919.90,62739.60,62884.10,2629.472,1724750999999,165277825.37450,33299,1531.840,96286572.96210,0
1724751000000,62884.20,62930.00,62504.70,62650.80,7403.144,1724752799999,463929615.49580,83923,3447.439,216013197.97950,0
1724752800000,62650.80,62650.80,62237.30,62352.00,10772.093,1724754599999,672353234.78570,125948,4752.154,296575859.56200,0
1724754600000,62352.00,62437.40,62208.90,62303.00,5970.608,1724756399999,372121234.76760,75341,3022.010,188368874.71900,0
1724756400000,62303.10,62523.90,62200.20,62475.20,4559.880,1724758199999,284491110.17760,59123,2615.782,163218506.08760,0
1724758200000,62475.20,62520.00,62331.40,62392.50,2462.369,1724759999999,153737281.98220,34930,1088.045,67939136.37830,0
1724760000000,62392.40,62435.00,62225.30,62299.30,3500.140,1724761799999,218156189.59450,50923,1820.320,113456099.65870,0
1724761800000,62299.30,62459.40,62091.50,62400.10,6000.267,1724763599999,373733150.69990,75523,3062.540,190826404.69780,0
1724763600000,62400.00,62439.20,62175.50,62426.20,4729.917,1724765399999,294829000.56980,62479,2505.134,156171435.80650,0
1724765400000,62426.20,62485.20,62100.00,62208.60,8720.365,1724767199999,542850301.33580,116330,4246.869,264418510.74870,0
1724767200000,62208.70,62267.70,61765.60,62010.00,23904.012,1724768999999,1480775007.87680,247452,11434.118,708291236.66980,0
1724769000000,62009.90,62129.90,61811.00,61815.10,6814.766,1724770799999,422393797.50810,92937,3275.023,203024869.90470,0
1724770800000,61815.10,61952.60,61625.00,61735.50,9892.299,1724772599999,611200073.70420,116437,4690.276,289870668.97700,0
1724772600000,61735.00,61775.00,61426.10,61673.30,13153.565,1724774399999,809973433.75590,138024,5846.490,360058216.29190,0
1724774400000,61673.40,61959.00,61538.50,61928.80,9247.488,1724776199999,571094824.44190,98594,5019.469,309983588.55680,0
1724776200000,61928.80,61933.00,61502.60,61532.00,5807.556,1724777999999,358211604.12910,74861,2652.985,163582040.84790,0
1724778000000,61532.60,61814.00,61484.30,61745.50,3747.485,1724779799999,230981169.59410,56270,2106.289,129828815.12780,0
1724779800000,61745.50,61906.10,61663.70,61906.10,2733.233,1724781599999,168903823.86680,43472,1457.360,90072996.74280,0
1724781600000,61906.00,62114.00,61855.00,61855.00,4628.405,1724783399999,286894096.05900,58744,2350.732,145732922.22150,0
1724783400000,61855.00,62106.40,61853.00,62061.70,2297.863,1724785199999,142467982.41650,35855,1248.760,77422237.14590,0
1724785200000,62061.70,62165.00,61928.20,62122.40,2754.517,1724786999999,170980322.88900,39383,1426.610,88569191.87380,0
1724787000000,62122.50,62122.50,61850.00,62071.80,2420.595,1724788799999,150043266.00450,39022,1058.961,65640878.85630,0
1724788800000,62071.80,62075.00,61825.70,61962.90,1958.108,1724790599999,121284921.15580,33305,839.907,52023641.65660,0
1724790600000,61962.90,61967.70,61815.20,61838.70,1147.541,1724792399999,71037448.34220,19942,456.358,28251768.78470,0
1724792400000,61838.80,61930.50,61099.90,61397.30,11365.678,1724794199999,698165260.79280,126623,4769.452,293054134.41790,0
1724794200000,61397.30,61397.40,59581.70,60379.60,33517.305,1724795999999,2030762959.22370,357406,13490.215,817285944.05390,0
1724796000000,60379.60,60380.60,57928.20,58893.50,56612.961,1724797799999,3345431014.68850,626783,25341.299,1497407457.42490,0
1724797800000,58893.40,59500.00,58684.50,59467.60,16166.246,1724799599999,955837012.51280,225434,8249.271,487889134.13350,0
1724799600000,59467.70,59757.70,59104.50,59668.00,12495.703,1724801399999,742324477.94330,149935,7057.598,419344155.29760,0
1724801400000,59668.10,59676.50,59356.00,59384.50,6427.545,1724803199999,382762573.66870,79946,2631.816,156725194.35640,0
