open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1724025600000,58390.10,58673.20,58173.20,58388.80,13770.869,1724027399999,803990147.32030,157736,7075.945,413226522.85600,0
1724027400000,58388.90,58640.00,58244.50,58307.80,6204.894,1724029199999,362642142.54580,81415,2848.530,166545880.95000,0
1724029200000,58307.80,58466.50,58183.00,58407.10,5044.156,1724030999999,294196372.10600,75661,2675.723,156080477.73910,0
1724031000000,58407.10,58587.20,58377.00,58525.00,3116.101,1724032799999,182305171.47120,53916,1679.108,98235062.79420,0
1724032800000,58524.90,58597.30,58383.00,58563.50,1980.716,1724034599999,115862906.65380,36820,1014.656,59360237.09430,0
1724034600000,58563.40,58712.50,58508.80,58631.40,2431.357,1724036399999,142536401.86560,41681,1121.694,65762637.21680,0
1724036400000,58631.50,58702.10,58511.70,58640.00,2633.732,1724038199999,154339811.75250,37066,1204.255,70578705.95740,0
1724038200000,58640.10,58736.60,58600.10,58696.60,1507.309,1724039999999,88437688.99630,27547,784.127,46009987.88830,0
1724040000000,58696.70,58710.60,58482.50,58510.00,2057.173,1724041799999,120534416.62840,30809,822.580,48200978.05670,0
1724041800000,58510.00,58621.60,58442.40,58548.50,2113.697,1724043599999,123702742.78540,33041,1148.146,67206816.44880,0
1724043600000,58548.50,58588.50,58381.30,58409.60,1702.361,1724045399999,99523630.64050,29691,781.749,45707485.82230,0
1724045400000,58409.70,58567.00,58339.80,58447.00,2638.853,1724047199999,154226916.32700,37486,1516.507,88646958.69090,0
1724047200000,58446.90,58497.20,58350.00,58463.70,1972.608,1724048999999,115223979.38780,29234,1022.033,59704928.49890,0
1724049000000,58463.60,58634.30,58450.30,58539.90,1890.182,1724050799999,110693552.12970,29159,1119.234,65546796.90580,0
1724050800000,58539.90,58724.80,58502.30,58516.60,3137.894,1724052599999,183931631.37020,40744,1562.951,91619028.93460,0
1724052600000,58516.60,58617.80,58467.60,58475.50,1581.441,1724054399999,92564278.52670,25381,687.360,40238802.14410,0
1724054400000,58475.50,58599.20,58400.00,58583.90,2388.676,1724056199999,139774956.62220,33679,1271.975,74437564.32870,0
1724056200000,58583.90,58628.50,58492.10,58580.00,1486.876,1724057999999,87092374.62390,23808,703.406,41203651.84850,0
1724058000000,58580.00,58643.90,58546.00,58597.90,1115.306,1724059799999,65347314.56650,18454,564.211,33059259.94110,0
1724059800000,58597.90,58648.70,57929.50,57977.20,14233.565,1724061599999,827622351.61860,145456,5312.178,308859438.59980,0
1724061600000,57977.30,58169.70,57750.00,58125.40,10779.462,1724063399999,625082576.37120,125393,5725.424,332099636.30180,0
1724063400000,58125.30,58135.10,58000.00,58016.10,2864.960,1724065199999,166325084.12100,41537,1387.074,80529046.52710,0
