open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1722988800000,55991.30,56119.90,55516.30,55922.00,9714.034,1722990599999,541907388.05246,127170,4553.499,254124327.83304,0
1722990600000,55922.00,56355.50,55841.00,56251.20,7002.608,1722992399999,392968023.29928,95709,3656.604,205219547.96420,0
1722992400000,56251.20,56350.00,55756.90,56160.00,6659.653,1722994199999,373397215.07422,90225,3322.051,186213030.15135,0
1722994200000,56159.90,57000.00,56111.20,56935.20,12320.770,1722995999999,698064927.61608,142497,6781.059,384261275.42445,0
1722996000000,56935.20,57235.10,56562.50,57152.60,12860.187,1722997799999,732407289.57520,136191,7398.814,421542236.71337,0
1722997800000,57152.70,57249.00,56456.40,56730.00,10087.538,1722999599999,573239934.67171,125266,4763.311,270657569.73603,0
1722999600000,56730.10,56950.00,56549.50,56672.40,4206.833,1723001399999,238694664.19228,65377,2151.842,122103726.69332,0
1723001400000,56672.40,56878.00,56601.50,56826.80,2803.031,1723003199999,159114612.13866,46444,1422.194,80718941.43437,0
1723003200000,56826.90,57117.90,56710.00,57017.00,6082.130,1723004999999,346128971.58805,84107,2987.113,170000352.04345,0
1723005000000,57017.00,57215.50,56958.00,57018.00,4412.645,1723006799999,252022088.45206,71751,2045.375,116836412.51582,0
1723006800000,57018.00,57219.40,56862.80,56958.10,4857.303,1723008599999,277010146.66452,71612,2450.010,139729665.96482,0
1723008600000,56958.00,57150.00,56666.30,56765.90,5764.790,1723010399999,327962419.94318,76731,2836.783,161396751.27716,0
1723010400000,56766.00,56968.00,56660.70,56843.50,4027.358,1723012199999,228779269.68077,66632,1881.389,106879966.22637,0
1723012200000,56843.60,56948.00,56684.80,56809.50,2295.338,1723013999999,130390525.63750,42494,1102.265,62619434.56060,0
1723014000000,56809.50,56893.40,56510.00,56689.50,4408.319,1723015799999,249861130.37125,63260,2034.395,115316449.69555,0
1723015800000,56689.60,57063.90,56668.20,56898.70,4544.218,1723017599999,258573523.93469,62190,2266.275,128959031.02054,0
1723017600000,56898.80,57132.00,56838.00,57088.60,4796.351,1723019399999,273400362.16237,64185,2652.979,151233690.67498,0
1723019400000,57088.50,57460.00,56992.00,57320.50,10168.708,1723021199999,581954323.53598,110946,6409.917,366939053.87148,0
1723021200000,57320.50,57600.00,57142.00,57409.50,13443.402,1723022999999,771806097.89300,146233,7551.502,433664424.90060,0
1723023000000,57409.50,57648.70,57286.40,57319.40,5641.696,1723024799999,324127313.80670,81096,2552.510,146687673.15800,0
1723024800000,57319.40,57528.00,57225.60,57489.40,4106.802,1723026599999,235716001.45010,64101,2058.647,118164435.87710,0
1723026600000,57489.50,57699.00,57280.20,57300.40,5490.816,1723028399999,315607647.24740,75546,2996.092,172244275.62920,0
1723028400000,57300.40,57352.40,57060.40,57089.10,6721.261,1723030199999,384461277.00588,92543,3183.571,182124668.87000,0
1723030200000,57089.10,57156.50,56843.60,56938.00,7586.658,1723031999999,432222505.45859,93248,3627.933,206694712.20218,0
1723032000000,56938.00,57306.10,56780.90,57096.00,8697.125,1723033799999,496082265.16491,110630,4593.727,262095243.31950,0
1723033800000,57096.30,57300.00,56950.00,57261.00,5694.063,1723035599999,325299863.99541,79703,2451.715,140082432.29660,0
1723035600000,57261.00,57445.10,56971.30,57219.90,5773.322,1723037399999,330106973.46768,80929,2959.519,169266743.70021,0
1723037400000,57219.90,57454.00,56673.00,56800.90,14071.851,1723039199999,802662296.35343,162382,6604.585,376809554.55239,0
1723039200000,56800.90,56975.60,56150.00,56199.90,17749.478,1723040999999,1002908453.99367,201539,8352.769,471990406.59771,0
1723041000000,56200.00,56414.40,55620.50,56060.10,23150.814,1723042799999,1296497061.80219,252486,11391.290,637972300.28604,0
1723042800000,56060.10,56379.00,55916.50,56053.70,8527.433,1723044599999,478534243.83425,120120,4114.295,230886651.25551,0
1723044600000,56053.70,56214.10,55755.00,56067.50,9033.950,1723046399999,505409117.68739,116414,4278.927,239453418.33483,0
1723046400000,56067.40,56274.00,55856.80,56088.70,6701.751,1723048199999,375755885.88168,96283,3213.411,180172653.16339,0
1723048200000,56088.70,56179.40,55793.40,56098.90,6183.128,1723049999999,346182174.89749,80830,2981.161,166933873.72494,0
1723050000000,56098.90,56279.80,55395.50,55704.10,13097.923,1723051799999,730882218.46171,157986,5961.432,332752252.40156,0
1723051800000,55704.20,55925.00,55421.60,55545.40,5797.770,1723053599999,322817836.58790,85741,2763.675,153898692.11111,0
1723053600000,55545.90,55605.00,54918.00,54989.00,12807.533,1723055399999,707429718.47024,155199,5828.648,322014238.35386,0
1723055400000,54989.00,55034.10,54650.00,54785.50,13449.973,1723057199999,737338607.86644,163970,6994.906,383534368.25984,0
1723057200000,54785.40,55126.00,54739.60,54941.70,7917.323,1723058999999,435417340.79967,105199,4544.404,249935701.12750,0
1723059000000,54941.80,54990.00,54663.30,54739.90,6238.268,1723060799999,341931585.58813,91021,3308.318,181356313.42510,0
1723060800000,54739.90,55213.20,54650.00,55098.20,9412.946,1723062599999,517205751.21063,113309,4869.794,267562098.29933,0
1723062600000,55098.20,55282.30,54613.00,55124.00,9271.767,1723064399999,509827119.87730,109645,4772.559,262515454.02565,0
1723064400000,55124.10,55260.00,54834.60,55073.20,5412.537,1723066199999,298222281.15850,76482,2371.638,130677861.48551,0
1723066200000,55073.30,55550.00,55073.30,55390.00,5460.810,1723067999999,302284835.04917,73420,2822.315,156232435.32545,0
1723068000000,55389.10,55438.20,54519.80,54782.90,11101.924,1723069799999,610018994.23835,137341,4164.790,228642872.16584,0
1723069800000,54782.90,55287.40,54756.10,55258.20,4498.962,1723071599999,247767616.93460,68696,2286.927,125957371.01363,0
1723071600000,55258.30,55408.10,55098.90,55146.20,3802.244,1723073399999,210155270.07870,55966,1770.560,97884222.38912,0
1723073400000,55146.20,55159.00,54897.50,55102.90,3587.196,1723075199999,197420765.87150,50673,1830.200,100739270.12381,0
